course_code,course_title,course_description
AM 114,Introduction to Dynamical Systems,Introduces continuous and discrete dynamical systems. Topics include: fixed points; stability; bifurcations; limit cycles; introduction to chaos. Examples are drawn from sciences and engineering. Familiarity with Matlab is preferred. Students cannot receive credit for this course and AM 214. (Formerly AMS 214.)
AM 115,Stochastic Modeling in Biology,"Application of differential equations, probability, and stochastic processes to problems in cell, organismal, and population biology. Topics include systems biology, cellular processes, gene-regulation, and population biology. Students may not receive credit for this course and AM 215 ."
AM 129,Foundations of Scientific Computing for Scientists and Engineers,"Covers fundamental aspects of scientific computing for research. Students are introduced to algorithmic development, programming (including the use of compilers, libraries, debugging, optimization, code publication), computational infrastructure, and data analysis tools, gaining hands-on experience through practical assignments. Basic programming experience is assumed."
AM 147,Computational Methods and Applications,"Applications of computational methods to solving mathematical problems using Matlab. Topics include solution of nonlinear equations, linear systems, differential equations, sparse matrix solver, and eigenvalue problems."
AM 148,GPU Programming for Scientific Computations,"This second course in scientific computing focuses on the use of parallel processing on GPUs with CUDA. Basic topics covered include the idea of parallelism and parallel architectures. The course then presents key parallel algorithms on GPUs such as scan, reduce, histogram and stencil, and compound algorithms. Applications to scientific computing are drawn from problems in linear algebra, curve fitting, FFTs, systems of ODEs and PDEs, and image processing. Finally, the course presents optimization strategies specific to GPUs. Basic knowledge of Unix, and C is assumed.  (Formerly AMS 148.)"
AM 160,Introduction to Scientific Machine Learning,"Introduction to scientific machine learning covering dimension reduction techniques for scientific data, modern methods in sparse regression and compressed sensing, deep neural networks for modeling real-life systems, and neural ordinary differential equations."
AM 170A,Mathematical Modeling 1,"Introduction to mathematical modeling emphasizing model construction, tool selection, methods of solution, critical analysis of the results, and professional-level presentation of the results (written and oral). Focuses on problems that can be solved using only analytical tools, and simple Matlab routines. Applications are drawn from a variety of fields such as physics, biology, engineering, and economics."
AM 170B,Mathematical Modeling 2,"Second course in mathematical modeling emphasizing the general process of scientific inquiry: model construction, tool selection, numerical methods of solution, critical analysis of the results, and professional-level presentation of the results (written and oral). Focuses on problems that must be solved using numerical tools. Applications are drawn from a variety of fields."
AM 178A,Learning Assistant Training for AM 10,Prepares undergraduate learning assistants (tutors) to become successful learning assistants in AM 10 . Topics include roles and responsibilities of tutors; AM 10 learning objectives; effective ways to address particular AM 10 topics that students struggle with; introduction to teaching and learning strategies to utilize in AM10 tutoring sessions; and peer and self observation.
AM 195,Senior Thesis Research,"Research project arranged individually between student and faculty member. Students submit a petition to the sponsoring agency. The project must involve significant mathematical and/or computational analysis of an application problem. The project should address a clear objective and have some novelty in method or in parameter exploration or in application area. A written thesis is required for completion of the capstone requirement. Prerequisite(s): AM 129 or AM 209, and AM 112 , and AM 147 , and AM 170A . Enrollment is restricted to seniors and is by permission of the instructor."
AM 198,Independent Study or Research,Students submit petition to sponsoring agency.
AM 198F,Independent Study or Research,Students submit petition to sponsoring agency.
ANCS 99,Tutorial,Students submit petition to sponsoring agency.
ANCS 197F,Senior Comprehensive Examination Preparation,Students submit petition to sponsoring agency.
ANCS 199,Tutorial,Students submit petition to sponsoring agency.
ANCS 199F,Tutorial,Students submit petition to sponsoring agency.
ANTH 1,Introduction to Biological Anthropology,Study of evolution illustrated by Pleistocene hominid fossils and variation in living human groups. Behavior and evolution of primates examined as they contribute to the understanding of human evolution. Required for all anthropology majors. (Formerly Introduction to Human Evolution.)
ANTH 2,Introduction to Cultural Anthropology,A number of different peoples are studied and a variety of approaches to the nature of the culture and to the study of specific cultures presented. Required for all anthropology majors.
ANTH 3,Introduction to Archaeology,"Overview of ways of learning about the human past beyond the scope of written history. Reviews development of archaeology, fundamental methods and theories, and archaeology's contribution to understanding human origins, the emergence of farming, and the origins of complex societies."
ANTH 93,Field Study,Supervised research or organized projects on anthropological topics for lower-division students. Conducted either on or off campus. Students submit petition to sponsoring agency.
ANTH 97,Laboratory Safety Practicum,"Covers laboratory health and safety and standard operating procedures within the anthropology laboratories. Prepares students for future laboratory research activities while providing support of laboratory administration, collections management, and laboratory course demonstration needs. Enrollment by application."
ANTH 100,History and Theory of Biological Anthropology,"Provides an historical overview from the 18th century to the present of race, ape-human relationships, and human nature. Emergence of an evolutionary framework and of fossil, genetic, and primate information becomes the basis for reformulating ideas about human biology within anthropology."
ANTH 109,Stable Isotope Ecology in Anthropology and Beyond,"Provides students with a comprehensive overview and solid theoretical framework regarding the most common isotope systems used in anthropology and related disciplines, which include carbon, nitrogen, oxygen, strontium, and sulfur."
ANTH 101,Human Evolution,Study of human evolution covering the last five million years.  Examines the fossil evidence and emphasizes the reconstruction of behavior from the paleontological and anatomical evidence.
ANTH 102A,Human Skeletal Biology,Presents basic human osteology allowing students to identify skeletal material by element. Emphasizes the dynamic nature of bone by integrating anatomy with a discussion of bone physiology within the context of the human life cycle.
ANTH 103,Forensic Anthropology,"Covers the basic analysis of human skeletal remains for the medicolegal profession. Assessment of age, sex, ancestry, and general physical characteristics, trauma, and disease are discussed. Addresses the legal responsibilities of the anthropologist. Online lectures with in-class discussion sections, quizzes, and exams. Students cannot receive credit for this course and ANTH 103I."
ANTH 104,Human Variation and Adaptation,"Explores the major environmental factors (temperature, altitude, diet, and disease); how they are perceived by the human body; the physiological, micro- and macroanatomical responses; and how behavior and culture can modify the impact of these stresses. ANTH 1 is highly recommended as preparation. (Formerly Human Adaptability.)"
ANTH 105,Human Paleopathology,"Examines paleopathology beginning with ancient hominid populations and proceeding to modern populations. Uses both the skeletal evidence and historical documentation when available. Considers evolutionary, cultural, and biological factors. Topics include: osteological diagnosis of infectious disease; trauma; nutritional deficiencies; dental disease; and developmental defects."
ANTH 106,Primate Behavior and Ecology,"The nature of primate social systems and social bonds is examined in the light of evolutionary and ecological concepts. We explore the evolution of primate social system behavior and culture, as well as the ecologies of primate populations."
ANTH 106A,Chimpanzee Behavior and Culture A,"Provides students with an in-depth understanding of the non-invasive study of chimpanzee behavior via video footage. The interactive lab aspect of this class focuses on how to non-invasively monitor the presence and behavioral diversity of wildlife, using camera trap technology. Students are exposed to the primary scientific literature and gain experience handling and maintaining large datasets in excel, and work as a team throughout this class. Prerequisite(s): ANTH 1 . Enrollment is by permission of the instructor."
ANTH 106B,Chimpanzee Behavior and Culture,"Provides students with an in depth understanding of the non-invasive study of chimpanzee behavior from video footage. The interactive lab aspect of this class focuses on how to non-invasively monitor the presence and behavioral diversity of wildlife using camera trap technology. Students are exposed to the primary scientific literature and gain experience handling and maintaining large datasets in excel, and work as a team throughout this class."
ANTH 106C,Chimpanzee Behavior and Culture,"Provides students with an in depth understanding of the non-invasive study of chimpanzee behavior from video footage. The interactive lab aspect of this class focuses on how to non-invasively monitor the presence and behavioral diversity of wildlife using camera trap technology. Students are exposed to the primary scientific literature and gain experience handling and maintaining large datasets in excel, and work as a team throughout this class."
ANTH 107A,Methods and Research in Biological Anthropology: Genetics,"Introduces the molecular analyses of anthropological questions and explores the intersection of genetics and anthropology. Covers the basic principles of molecular and population genetics as they relate to the study of humans. Prerequisite(s): ANTH 1 and ANTH 104 . ANTH 102A is recommended. Enrollment by permission of instructor. (Formerly ANTH 107, Methods and Research in Molecular Anthropology.)"
ANTH 107B,Methods and Research in Biological Anthropology: Stable Isotopes,"This combination of lectures, readings, discussions, and hands-on laboratory experience provides a comprehensive overview of stable isotope research to reconstruct diet and mobility. Discover the wide application of isotopic research in biological anthropology, bioarcheology, primatology and forensics. Prerequisite(s): at least one of ANTH 101 , ANTH 104 , ANTH 106 , ANTH 107, or ANTH 110F and by permission of the instructor. (Formerly Methods and Research in Stable Isotope Ecology.)"
ANTH 107C,Methods and Research in Biological Anthropology: Chimpanzee Behavior and Culture,"Lab class analyzing trail camera footage from chimpanzees and other wildlife, and installing our own cameras in the UCSC forest. Also includes readings and discussion of papers related to the newest findings on chimpanzee behavioral diversity and culture. Prerequisite(s): ANTH 106 . Enrollment is by instructor consent."
ANTH 107D,Methods and Research in Biological AnthropologyâComputational Population Genetics,"Practical introduction to computational population genetics. Covers the basic principles of population and evolutionary genetics, and explores those with a range of computational methods for the analysis of genetic diversity, population structure, and admixture. Enrollment is by instructor consent."
ANTH 107E,Methods And Research In Biological Anthropology: Lithic Technology,"Introduction to lithic and ceramic analysis in archaeology. Includes lab analysis, discussions of classification and typology, and exploration of the concept of style as it relates to ceramics and lithics in archaeology. (Formerly ANTH 182A, Lithic Technology.)"
ANTH 108,Neanderthals,"Homo sapiens neanderthalensis (neanderthals), once considered brutish, are increasingly seen as behaviorally modern. This course uses primary academic research to explore the social behaviors, technology, anatomy, and genetics of neanderthals, gaining a holistic understanding of our closest ancestor."
ANTH 110A,Public Life and Contemporary Issues,"How can cultural anthropology help us to understand current events unfolding locally, nationally, and globally? Students learn how to read newspapers differently--that is, through the lens of cultural analysis. The world of everyday politics and society, as it unfolds in debates happening right now, forms the topical substance of the course."
ANTH 110B,From Indiana Jones to Stonehenge: Archaeology as Popular Culture,"Addresses the meaning of archaeology as generated in television, movies, literature, newspapers, and even National Geographic. Students engage with several case-studies illustrating how archaeology is portrayed in popular culture."
ANTH 110C,California Pasts,"This course is structured around four critical moments--missionization, Rancho-Era, Gold Rush, and World War II--through the eyes of the ethnic and racial minorities who experienced them. Special attention is given to oral, archival, and archaeological sources which reveal California's multiethnic pasts."
ANTH 110D,Tourism Imaginaries and Encounters,"Explores anthropological approaches to the study of tourism, in particular themes of authenticity, othering, visual economies, development, identity politics, alternative tourisms, and material culture with reference to history, power, and location."
ANTH 110E,Anthropology of Global Environmental Change,"Introduces anthropological and historical approaches to environmental change and globalization. Key themes include: capitalism and industrialization, environmental politics, global culture, and relations between humans and other species."
ANTH 110F,Evolution of Human Diet,"Presents the evolution of human diet and subsistence from a biological anthropological perspective. Covers the key hypothesis and methodologies related to diet, from our early fossil ancestors up to agriculture and animal husbandry.  (Formerly Biocultural Approaches to Food.)"
ANTH 110G,"Westside Stories: Race, Place and the California Imaginary","From South Central to La MisiÃ³n, this course explores the role of race and culture in creating the California Dream. Draws on films, music, and activism as lenses into the complex flows of power that shape our communities."
ANTH 110H,Brazilian Amazon Cultures and Environments,"General introduction to the astonishing diversity of cultures and environments in the Brazilian Amazon. Designed to provide upfront understanding of what underlies perverse (non)development and forest destruction, but also social defense of the forest and sustainable life within it."
ANTH 110I,Cultures of Sustainability and Social Justice,"Brings together diverse forms of cultural knowledge and complexities of everyday life to illuminate longstanding concerns of sustainability and justice. Investigates multiple theories of sustainable development as well as tools, techniques, and contexts for ecological integrity, economic security, empowerment, responsibility and social well-being characteristic of sustainable communities. Case studies are drawn from around the world highlighting the work of Right Livelihood Award Laureates in tandem with UC faculty."
ANTH 110IG,Cultures Of Sustainability And Social Justice Abroad,"Brings together diverse forms of cultural knowledge and complexities of everyday life to illuminate longstanding concerns of sustainability and justice. Investigates multiple theories of sustainable development as well as tools, techniques, and contexts for ecological integrity, economic security, empowerment, responsibility and social wellbeing characteristic of sustainable communities. Case studies highlight the work of Right Livelihood Award Laureates in tandem with UC faculty. This course is a hybrid course. The in-person component allows for an in-person study abroad experience whereby students visit sites relevant to the curriculum and have lectures and discussions with Right Livelihood Laureates and the instructor. The asynchronous online component facilitates student engagement with custom pre-recorded video interviews with UC faculty and Right Livelihood Laureates from around the world."
ANTH 110J,Emerging Humanity,"Using an anthropological and archaeological perspective to learn about human history before AD 1500, course explores fossil remains of human ancestors and traces the more recent history of humanity from forgers/hunters to the emergence of complex societies/civilizations. Topics include human biological evolution, the development of organized human societies, the origins of food production (domestication of plants and animals), the origins of the world's earliest urban centers, and the development of social inequality."
ANTH 110K,Culture Through Food,"Examines anthropology of food and politics of eating. Cultural and social uses of food in rituals of solidarity or fasting, identities and meanings of food for individuals, and consumption in the global context are key components of study."
ANTH 110M,Cultures of Mental Health,"Examines diversity of mental health across cultures, psychiatric categories, and institutions. Assessment of human experiences via illness narratives, ethnographic research, and historical contexts."
ANTH 110L,The Human Ocean,"From coral reefs to Arctic sea ice, this course examines how humans interact with and transform earth's oceans, and how humans are shaped by the sea. Topics include: marine conservation, migration, shipping and logistics, slavery, fisheries management, and climate change."
ANTH 110N,Anthropology of Food,"Focuses on social institutions around the world that shape food and its meanings; how people use food to organize their worlds; and production, sharing, or consumption of food as a political or meaningful act."
ANTH 110O,Postcolonial Britain and France,"Transdisciplinary examination of the politics and culture of postcolonial Britain and France. Topics include: immigration from South Asia, Africa, and the Caribbean; racism and antiracism; minority difference and citizenship practices; and the emergence of Islam as a major category of identity and difference."
ANTH 110P,India and Indian Diaspora through Film,"Students in this course view the complexity and diversity of the Indian Diaspora through themes such as family, caste, food, gender, politics, religion, sexuality, and immigration policies affecting the diaspora. How do the vastly diverse groups of Indian Americans perceive their own ethnic identity? How do they respond to the dual impulses of assimilation and integration? And how might their self-conception influence the composition of their social networks? Course explores these themes through readings and Bollywood films."
ANTH 110Q,Queer Sexuality in Black Popular Culture,"From Janet Mock to Young M.A., queerness has become hypervisible in Black popular culture--but at what cost? Using music, television, and social media as central texts, students investigate the intersections of sexuality, gender, and race in public life."
ANTH 110R,Discourses in American Religions and Their Role in Public Life,"Introduces dominant discourses about major American religions and their role in public life, with particular attention to intersecting differences, such as race, sex/gender, and disability, and to shifting religious/political boundaries. Visual and textual media, political commentary, and popular ethnographies are analyzed."
ANTH 110S,Evolution of Democracy,"Examines the state and its institutions from a historical, social, and cross-cultural perspective, paying attention to the varied discourses and practices that constitute what we call the state."
ANTH 110T,Motherhood in American Culture,"Examines the culture wars around motherhood in the United States with a focus on the political mobilization of normative ideas about the correct way to mother, from the moment of conception on. Special attention is given to the historical construction of deviant motherhood among marginalized groups."
ANTH 110U,Histories and Cultures of Piracy,"An interdisciplinary yet anthropologically informed approach to studying pirates and piracy across different historical eras and spaces. Explores the role of pirates in world history from ancient to present times, including piracy both at sea and online."
ANTH 110V,American Capitalism,"Capitalism shapes our lives in unequal ways, but what is it? Course explores histories and machinations of capitalism in the Americas, focusing on the United States. Investigates what capitalism is, how it operates, its origins, and what might come next."
ANTH 110Y,Feeding California,"Online course introducing students to social practices, political processes, and cultural contexts that shape food production and consumption. Considers identity, heritage, choice, power, agency, body practices, belonging, access, safety, and security. Prioritizes California case studies, with comparative examples from around the world."
ANTH 110Z,Introduction to Disability Studies,"Provides an introduction to the interdisciplinary field of disability studies, including the key terms and debates of disability studies; representations of disability in print, televisual, and social media; and the legal, political, and justice-oriented frameworks that impact disability in the U.S., with a focus on intersectional disability justice."
ANTH 111,Human Ecology,"Reviews the environmental, physiological, behavioral, and cultural ways that humans interact with their physical surroundings. The effects of human culture on the environment and of the environment on the shape of human culture is emphasized."
ANTH 112,Life Cycles,"Examines the human life cycle using an evolutionary framework. Examines key aspects of the human life stages using findings and concepts from developmental biology, physiology, nutrition, evolutionary ecology, and life-history theory."
ANTH 113,Tutoring Writing in Anthropology,Trains students to tutor writing in undergraduate anthropology courses; supports and guides them during the quarter they are tutoring. Enrollment by interview only. Prerequisite(s): satisfaction of the Composition requirement.
ANTH 119,Indigenous Visual Culture,"Examines the relationship between visual cultures and indigenous peoples. First, class discusses what is visual anthropology. Second, class examines the relationship between museums and indigenous peoples. Third, class examines ethnographic photography and indigenous uses of photography. Fourth, class examines the uses of ethnographic film, and then its relationship to indigenous peoples. Finally, class examines indigenous uses of film."
ANTH 121,Socialism,"Ethnography-based course that examines the social worlds of socialism, with particular focus on state socialism. Topics include: social problems that inspired socialist movements; implementation and experience of socialism in daily life; and significance of class, race, nation, science, technology, rationality."
ANTH 122,Postsocialism,"Examines the demise of socialist systems. Addresses the political, social, cultural, and economic experiences of everyday life that led to that demise, what new social inequalities have arisen since, and how citizens use the socialist past to critique the present."
ANTH 123,Psychological Anthropology,"An introduction to some of the central theoretical issues in psychological anthropology. Psychoanalytic, cognitive, and relativist perspectives on the link between person and society are discussed and compared."
ANTH 124,Anthropology of Religion,"Study of the phenomenon of religion as manifested in ethnographic literature, with special attention to traditional and recent modes of analysis of religious behavior. Special topics include myth, religious healing, witchcraft and sorcery, ritual, and millenarian movements."
ANTH 125,"Magic, Science, and Religion","With a theoretical understanding of the concepts of magic, science, and religion, students draw on ethnographies of these practices to critique distinctions between them and critically analyze the understanding of these categories and their relation in the modern world"
ANTH 126,Contraband: Shadow Economies and the Law,"Course takes an interdisciplinary approach to studying contraband and smuggling. Focusing on concepts used to describe illegality we examine how ""shadow economies"" are central to the making of states and sovereignty, the legal and illegal being blurred."
ANTH 127,Ethnographies of Capitalism,"Challenges approaches to capitalism that treat it as socioeconomic relations separable from culture. Readings include ethnographies demonstrating the inextricability of cultural meanings from capitalist practices. Topics include capitalism's relationship to colonialism, nationalism, socialism, gender, and the commodification of aesthetics."
ANTH 128,Contemporary American Evangelical Cultures,"Study of contemporary, American, born-again Protestant discourse using ethnographic materials and interpretive theories. Topics include biblical literalism, Christian conversion and self-fabulation, charismatic gifts, preaching, sacrificial giving, prosperity theology, apocalypticism, creationism, pro-family and pro-life rhetoric, and televangelism. (Formerly Born-Again Religion and Culture .)"
ANTH 129,Beyond Borders: Other Globalizations and Histories of Interconnection,"The history of social and cultural interconnections at a global scale. Anthropological approaches to the study of cultural encounter are used to investigate topics such as trade, religion, and citizenship and to evaluate shifting concepts of civilization and barbarism. (Formerly Other Globalizations: Cultures and Histories of Interconnection.)"
ANTH 130A,Anthropology of Africa.,"Survey of sub-Saharan societies. Analysis of principles of social organization and factors of cultural unity of selected western, eastern, central, and southern African peoples. (Formerly Peoples and Cultures of Africa)"
ANTH 130B,Brazil,"Examines Brazilian culture and its link to interpersonal relationships, religion, politics, and psychological experience."
ANTH 130C,Politics and Culture in China,"Joins substantive information about Chinese society and culture with debates in social theory and rethinks conventional wisdom about colonialism and modernity. Topics include representations of Chineseness, class revolution, Chinese diaspora, popular culture, family and kinship, nationalism, history/memory, race and gender."
ANTH 130D,The Cultural Aspects of the Israeli-Palestinian Conflict,"Course examines the everyday life of the Palestinian citizens of Israel.â Palestinians who ââremained within what became the State of Israel after the 1948 war became a national and ethnic minority overnight. Although granted citizenship, they were excluded from the Jewish âmajority society and were âdiscriminated against by the stateâ. Course deepens the understanding of the conflict while focusing on the complex relations between the Palestinian and Jewish citizens in Israel, highlights the Palestinians' social and cultural aspects, and sheds light on how they ââexperience everyday life as a minority. Students learn how to apply sociological and anthropological approaches to understand better the Israeli-Palestinian conflict and minority-majority relations in general. â"
ANTH 130E,Culture and Politics of Island Southeast Asia,"Southeast Asia includes a variety of societies exhibiting many ecological adaptations, religions, marriage systems, and experiences with colonial powers. Case studies of particular societies, chosen to reveal variety, are examined comparatively. Emphasis on religion and social organization."
ANTH 130F,Blackness In Motion: Anthropology of the African Diasporas,"What connects Black communities in the Caribbean, the U.S., Latin America, and Canada, and what sets them apart? Examines theories of diaspora, gender and sexuality, slavery, colorism, music, U.S. hegemonies, social movements, and comparative racialization and global anti-blackness (Formerly Blackness In Motion: Anthology of the African Diasporas.)"
ANTH 130G,Asian Americans in Ethnography and Film,"Critically examines category of Asian Americans. Addresses historic representations of Asians and Asian Americans in ethnographic research and film. Explores contemporary issues of race, culture, and politics through ethnographic practice and cultural production."
ANTH 130H,Ethnography of Russia and Eastern Europe,"Introduces students to the ethnography of Eurasia, with special attention to the lived experience and legacy of state socialism in this region. Topics include new ideas of personhood, changing economic practices, public health, and international development."
ANTH 130I,Cultures of India,"An examination of anthropological studies of tribal, rural, and urban cultures of India and a look at changes taking place in India."
ANTH 130IG,Cultures of India Abroad,"An examination of anthropological studies of tribal, rural, and urban cultures of India and a look at changes taking place in India."
ANTH 130J,Politics and Statemaking in Latin America,"Introduction to ethnohistory and political anthropology of one or more Latin American countries: Typically Mexico and one other country. Students explore how contested concepts such as indigeneity, nation or state come to gain credibility and are deployed in contemporary politics."
ANTH 130K,Food Cultures in South Asia,"Designed to prepare students to adopt food as an analytical lens to explore the relationship between environmental sustainability and social justice in the South Asia. It draws from ethnographic texts, films, and recipe books to provide an overview of contemporary debates, insights, and politics. Examines how everyday food practices shape gender, religion, caste, and class. Students interested in emerging food trends and consumption will connect with diverse grassroots food initiatives, including food justice initiatives from indigenous communities."
ANTH 130L,Ethnographies of Latin America,"A broad introduction to issues and areas of cultural production and transformation in the Caribbean, Mexico, and Central and South America. Colonial, neocolonial, class, ethnic, gender, religious, ecological, and political relations intersect as represented in ethnographies and film."
ANTH 130M,Inside Mexico,"Examines various communities within the Republic of Mexico as represented in ethnographic texts and other forms of cultural production, particularly music and dance. Emphasis on the interplay between the concept of regionalism and national identity. Previous course work in Mexican culture and/or history strongly recommended. Some reading in Spanish is required."
ANTH 130N,Native Peoples of North America,"A survey of Native American cultures and experience during the past century, with emphasis on Pueblo cultures of the American Southwest."
ANTH 130O,"Native Feminisms, Gender, and Settler Colonialism","Covers Native feminisms, gender, settler colonialism, and ethnography. Students read ethnographies that intervene in Native feminisms and its possibilities. Focuses on ethnographies in the U.S., including Native men and masculinities in Hawaii."
ANTH 130P,Ethnography of Southern Cone Chile and Argentina,"Chile and Argentina, although both established within Spanish colonization and physically close, have dissimilar histories and culture. We explore areas of friction and overlap that shaped different peoples, institutions, cultural identities, and histories in countries that share a particular history."
ANTH 130S,"Ethnography of Russia and Eastern Europe, Abroad","This study abroad introduces the ethnography of Russia and Eastern Europe, with special attention to lived experience and legacy of state socialism. Topics: effects of socialism, changing economic practices; constructions of new identities; modernization/development; belief systems; and memory and history."
ANTH 130T,Religion and Politics in the Muslim World,"Analyzes post-colonial forms of Islam, with particular attention to Muslim societies and cultures in the Middle East, North Africa, and Europe. Emphasizes the relationship between power, knowledge, and representation in anthropological approaches to Islam and Muslims. (Formerly Anthropological Approaches to Islam.)"
ANTH 130U,Central America,"Draws on political, economic, and anthropological perspectives to analyze the key role of transnationalism and neoliberalism in contemporary Central America. Key topics include: the aftermath of revolutions; labor and gender; indigenous movements and multiculturalism; and transnational migration and governance."
ANTH 130V,Ethnography of Russia,Examines daily life in Russia and affiliated formerly Soviet Republics through historical and cultural comparison. Topics include: socialist and postsocialist daily life; 20th- and 21st-century Russian empire building; cultural politics; economic systems; state-citizen relations; citizenship regimes; labor and leisure; and religion.
ANTH 130W,Ethnography of Eastern Europe,"Examines daily life in Eastern Europe, especially how residents in this region have navigated the transition from state socialism to accession to the European Union. Topics include: the legacies of state socialism; cultural politics; new economies; consumption; the European Union; new forms of governance; and political activism."
ANTH 130X,Special Topics in Ethnography,This course on special topics in ethnography will be taught on a rotating basis by various faculty members. Precise focus of each year's courses will vary according to the instructor and will be announced by the department.
ANTH 130Y,"Health, Illness, & Medicines in Muslim Worlds","How can one bear witness to pandemics, plagues, crises, and destruction in the Middle East without reproducing tropes and myths of chronic instability and regional under-development? This lecture course is an ethnographic, historical, and textual exploration of the past and present of Muslim Worlds and the Islamic tradition and sciences. Students critically engage the region we now evoke as the Middle East and its accompanying traditions as well as the tools that arise to diagnose and guide prescriptions for securing well-being of individuals, communities, and traditions."
ANTH 131,Gender in Cross-Cultural Context,"Examines the diversity of women's as well as men's roles, experiences, and self-conceptions in a number of societies to explore how women and men shape, and are shaped by, particular forms of social life."
ANTH 131H,Russian-Language Readings Course: Readings in Anthropology of Russia,"Contemporary topics and readings in anthropology of Russia and the former Soviet Union. All readings, films, and other materials are in Russian. Discussions are in English. Accompanies ANTH 130H , Ethnography of Russia and Eastern Europe. Prerequisite(s): ANTH 130H and proof of Russian proficiency in reading and writing. Enrollment by permission of instructor."
ANTH 132,"Food, Culture, and Justice in Israel/Palestine","Examines the tensions within Israeli society and its relationships with other countries through food and eating habits, focusing on the relations with the Palestinian people sharing the same land. Given that food is a medium through which one can analyze social and cultural relations (and fightsâ¦), this course focuses on how food and eating patterns reflect, shape, and influence modern Israel. By doing so, the course provides a unique angle to major social and cultural issues in Israel, such as the relationship between Jews and Palestinians in Israel, cultural and social tensions between different ethnic groups, the effect of global food trends on Israeli society. (Formerly Food Fights: Food, Culture, and Society in Israel.)"
ANTH 133,Narratives of the Popular,"Addresses the increasing importance of popular culture as the terrain upon which to address issues of culture and power. Emphasizes an ethnographic approach to popular culture as sociocultural phenomena. Students learn about a variety of activities including television and film viewing, music, fashion, photography, postcards, comic books, and urban spatial relations and architecture."
ANTH 134,Medical Anthropology: An Introduction,"Cross-cultural study of health, disease, and illness behavior from ecological and ethnomedical perspectives. Implications for biomedical health care policy. Students cannot receive credit for this course and ANTH 254 ."
ANTH 135A,Cities,Examines cities from an anthropological perspective. Reviews pertinent social scientific literature of the 19th and early 20th centuries. Surveys the concepts and methods used by contemporary anthropologists to investigate urban phenomena.
ANTH 136,The Biology of Everyday Life,"Addresses cross-cultural attitudes to the human body and its everyday biological concerns: sleeping, eating, breathing, sex, and defecation."
